Daily Review,Date,duration (m),start time,end time,Notes,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Distractions Tag,Context Tags,Friction Tags,Recovery Tags,Deep Work Min, learning content,作成日時
12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2025-12-31,26,"December 31, 2025 7:23 AM (GMT+9)","December 31, 2025 7:49 AM (GMT+9)",,,,,2.0,No,,,,,0,,"December 31, 2025 7:49 AM"
12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2025-12-31,25,"December 31, 2025 9:25 AM (GMT+9)","December 31, 2025 9:50 AM (GMT+9)","やった：form_withのurlオプションでのパスについての詳細な理解は一旦おいてカリキュラムを進めた
詰まった/気づいた：理解できていないとこを理解して進めていて、どうやって深ぼれば良いかを把握して飛ばしているのでよき。カリキュラムを進めることで他の箇所の解説と疑問点が結びつくことがあるのでよき。
次：26mで進む戦略はとても良い",5.0,4.0,2.0,4.3,Yes,,.R_タスク分解 (https://www.notion.so/R_-2d5d5c5438fd8138a918d1f3dc1e6f9f?pvs=21),,,25,,"December 31, 2025 9:25 AM"
12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2025-12-31,58,"December 31, 2025 11:46 AM (GMT+9)","December 31, 2025 12:44 PM (GMT+9)","やった：実装課題：commentsのコントローラー作成
詰まった/気づいた：Commentsモデルなのか、currentユーザーなのか理解に詰まっる
次：現状の学習状況と詰まっているとこを夕食後の時間にまとめる。",4.0,4.0,5.0,3.0,No,,,".F_リサーチループ (https://www.notion.so/F_-2d8d5c5438fd807daea4e4009b557289?pvs=21), .F_詰まり（バグ沼） (https://www.notion.so/F_-2d5d5c5438fd812eaa73faf579b1cc4e?pvs=21)",,0,,"December 31, 2025 11:52 AM"
1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-01-01,52,"January 1, 2026 7:34 AM (GMT+9)","January 1, 2026 8:26 AM (GMT+9)","やった：学習計画をせずにそのままエラー解決のために学習を即スタート
詰まった/気づいた：睡眠を優先してしっかり寝たので寝起きスッキリで、だらけたい葛藤はあったが学習をすぐにスタートできた
次：",5.0,5.0,2.0,4.7,Yes,none,,,,52,,"January 1, 2026 7:34 AM"
1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-01-01,60,"January 1, 2026 9:16 AM (GMT+9)","January 1, 2026 10:16 AM (GMT+9)","やった：エラーログに対しての理解をらんてくんで壁打ちしながらでバッグ
詰まった/気づいた：ルーティング設計について理解が不十分だった
次：14時からこのカリキュラムについていったん理解をまとめる時間26m x 2儲ける",4.0,4.0,2.0,4.0,Yes,none,,,,60,,"January 1, 2026 9:16 AM"
1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-01-01,13,"January 1, 2026 10:44 AM (GMT+9)","January 1, 2026 10:57 AM (GMT+9)","やった：サックと理解をさらう程度の気持ちでカリキュラムを進める
詰まった/気づいた：短い時間でも進めることできると気づいた
次：のりぴーさんとmtg",,,,2.0,No,,,,,0,,"January 1, 2026 10:44 AM"
1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-01-01,140,"January 1, 2026 10:58 AM (GMT+9)","January 1, 2026 1:18 PM (GMT+9)","やった：のりぴーさんとのsql技術談義
詰まった/気づいた：
次：",5.0,3.0,2.0,4.0,Yes,,,,,140,,"January 1, 2026 10:58 AM"
1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-01-01,40,"January 1, 2026 3:13 PM (GMT+9)","January 1, 2026 3:53 PM (GMT+9)","やった：昼寝散歩をしてココア準備してカリキュラム学習
詰まった/気づいた：ふーんという感じで軽く攫ったので早く終えることができた。この時間帯でもサボるかという気持ちはあまりなく集中してできていた
次：",4.0,4.0,1.0,4.3,Yes,,,,,40,,"January 1, 2026 3:13 PM"
1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-01-01,40,"January 1, 2026 5:28 PM (GMT+9)","January 1, 2026 6:08 PM (GMT+9)","やった：学習ノートまとめ
詰まった/気づいた：学習中の疑問や詰まった箇所がcabinetには一定なので振り返りが少しむずい
次：ランテくんに質問するたびにページを作成して、都度コメントを作っておく",4.0,2.0,3.0,3.0,No,,,,,0,,"January 1, 2026 5:28 PM"
1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-01-01,31,"January 1, 2026 6:10 PM (GMT+9)","January 1, 2026 6:41 PM (GMT+9)","やった：学習の振り返り
詰まった/気づいた：テンプレートとして学習のまとめを標準化する必要あり
次：",3.0,3.0,3.0,3.0,No,,,,,0,,"January 1, 2026 6:10 PM"
1/2 (https://www.notion.so/1-2-2dcd5c5438fd80af9b07cd26d8eec61c?pvs=21),2026-01-02,58,"January 2, 2026 11:13 AM (GMT+9)","January 2, 2026 12:11 PM (GMT+9)","やった：カリキュラムスタート
詰まった/気づいた：昨日詰まったルーティングの内容が理解できているので進めるのがスムーズだった
次：",5.0,4.0,2.0,4.3,Yes,,,,,58,,"January 2, 2026 11:13 AM"
1/2 (https://www.notion.so/1-2-2dcd5c5438fd80af9b07cd26d8eec61c?pvs=21),2026-01-02,43,"January 2, 2026 12:32 PM (GMT+9)","January 2, 2026 1:15 PM (GMT+9)","やった：掲示板編集、削除機能実装
詰まった/気づいた：詰まった時に都度notionメモに書くと仮説の検証方法を考えることができるて集中できていた
次：",4.0,4.0,2.0,4.0,Yes,,,,,43,,"January 2, 2026 12:32 PM"
