Status,Daily Review,WeekKey,Date,duration (m),start time,end time,Notes,Phase,Technical Interview,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Deep Work Min,作成日時,In This Week,In Last Week,Interview Min,Prep Min,WrapUp Min,TI Min, learning content
Done,1/15 (https://www.notion.so/1-15-2ecd5c5438fd80e992c6e3d495d47239?pvs=21),2026-W03,2026-01-15,20,"January 15, 2026 11:40 AM (GMT+9)","January 15, 2026 12:00 PM (GMT+9)","やった：技術面談
詰まった/気づいた：",Interview,デバッグ (https://www.notion.so/2e9d5c5438fd8057b6a4f93416dddb0d?pvs=21),3,3,3,3,No,0,"January 15, 2026 11:40 AM",Yes,No,20,0,0,20,
Done,1/15 (https://www.notion.so/1-15-2ecd5c5438fd80e992c6e3d495d47239?pvs=21),2026-W03,2026-01-15,38,"January 15, 2026 12:17 PM (GMT+9)","January 15, 2026 12:55 PM (GMT+9)","やった：
詰まった/気づいた：技術面談実施後の評価でどの視点で評価するのかという指標があいまい。基礎体力→3つの指標はなんなのか？？",WrapUp,デバッグ (https://www.notion.so/2e9d5c5438fd8057b6a4f93416dddb0d?pvs=21),3,3,3,3,No,0,"January 15, 2026 12:17 PM",Yes,No,0,0,38,38,
Done,1/16 (https://www.notion.so/1-16-2e9d5c5438fd808d907dee3d96ef8639?pvs=21),2026-W03,2026-01-16,16,"January 16, 2026 7:19 AM (GMT+9)","January 16, 2026 7:35 AM (GMT+9)","やった：学習計画作成
詰まった/気づいた：",,,,,,2,No,0,"January 16, 2026 7:19 AM",Yes,No,0,0,0,0,
Done,1/16 (https://www.notion.so/1-16-2e9d5c5438fd808d907dee3d96ef8639?pvs=21),2026-W03,2026-01-16,30,"January 16, 2026 7:39 AM (GMT+9)","January 16, 2026 8:09 AM (GMT+9)","やった：技術面談で教わったエラー検証に則りリサーチをする
詰まった/気づいた：寝る前にipadを使っていると頭が重い感じでサボりたい欲が５割マシである",,,4,4,2,4,Yes,30,"January 16, 2026 8:09 AM",Yes,No,0,0,0,0,
Done,1/16 (https://www.notion.so/1-16-2e9d5c5438fd808d907dee3d96ef8639?pvs=21),2026-W03,2026-01-16,59,"January 16, 2026 9:25 AM (GMT+9)","January 16, 2026 10:24 AM (GMT+9)","やった：投稿が削除できないバグの解消
詰まった/気づいた：Dockerのログを最初に参照するのも検証のプロセスとして考えておく",,,4,5,4,3.7,No,0,"January 16, 2026 9:55 AM",Yes,No,0,0,0,0,
Done,1/16 (https://www.notion.so/1-16-2e9d5c5438fd808d907dee3d96ef8639?pvs=21),2026-W03,2026-01-16,45,"January 16, 2026 10:42 AM (GMT+9)","January 16, 2026 11:27 AM (GMT+9)","やった：編集ができない
詰まった/気づいた：何が起きているかから、処理前、処理中、処理後なのかという考える思考が学べた",,,4,4,3,3.7,No,0,"January 16, 2026 11:26 AM",Yes,No,0,0,0,0,
Done,1/16 (https://www.notion.so/1-16-2e9d5c5438fd808d907dee3d96ef8639?pvs=21),2026-W03,2026-01-16,47,"January 16, 2026 11:28 AM (GMT+9)","January 16, 2026 12:15 PM (GMT+9)","やった：JSカリキュラム　e.preventが必要な理由について
詰まった/気づいた：e.preventでできることを記事で学習で一旦はokにする。注意が次何しようかや、今日の計画で技術面談しようかなどそれたりしていた",,,4,3,2,3.7,No,0,"January 16, 2026 11:28 AM",Yes,No,0,0,0,0,
Done,1/16 (https://www.notion.so/1-16-2e9d5c5438fd808d907dee3d96ef8639?pvs=21),2026-W03,2026-01-16,71,"January 16, 2026 2:44 PM (GMT+9)","January 16, 2026 3:55 PM (GMT+9)","やった：技術面談準備
詰まった/気づいた：最初、本当に必要あるのかという疑問と何を相談したら良いのかという、どうまとめろうと考えて時間がくった",Prep,イベントオブジェクト理解度の確認 (https://www.notion.so/2ead5c5438fd805d81a5db70e84526b7?pvs=21),4,4,3,3.7,No,0,"January 16, 2026 2:44 PM",Yes,No,0,71,0,71,
Done,1/16 (https://www.notion.so/1-16-2e9d5c5438fd808d907dee3d96ef8639?pvs=21),2026-W03,2026-01-16,15,"January 16, 2026 4:15 PM (GMT+9)","January 16, 2026 4:30 PM (GMT+9)","やった：技術面談
詰まった/気づいた：3つの項目理解をお話しします。よき➡️ そして1つずつ以上の理解で今のところ問題ありませんかね？もよき",Interview,イベントオブジェクト理解度の確認 (https://www.notion.so/2ead5c5438fd805d81a5db70e84526b7?pvs=21),3,3,1,3.7,No,0,"January 16, 2026 4:30 PM",Yes,No,15,0,0,15,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,39,"January 17, 2026 7:29 AM (GMT+9)","January 17, 2026 8:08 AM (GMT+9)","やった：JS カリキュラム
詰まった/気づいた：少しだれていてサボっても良いかなという気持ちがある",,,3,3,1,3.7,No,0,"January 17, 2026 8:08 AM",Yes,No,0,0,0,0,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,38,"January 17, 2026 9:16 AM (GMT+9)","January 17, 2026 9:54 AM (GMT+9)","やった：JS カリキュラム | fectchとテキスト処理による反復
詰まった/気づいた：自分のプロジェクトにどうやって使えるか？と考えた時に集中力が増して楽しくなっている感覚がる",,,4,4,2,4,Yes,38,"January 17, 2026 9:16 AM",Yes,No,0,0,0,0,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,78,"January 17, 2026 9:55 AM (GMT+9)","January 17, 2026 11:13 AM (GMT+9)","やった：JS カリキュラム | Promiseについて学習、インプット型カリキュラム時の学習プロセステンプレート作成
詰まった/気づいた：promiseの理解は独学時にはできていなかったので時間をかけて基本概念の言語化に焦点",,,,,,2,No,0,"January 17, 2026 9:55 AM",Yes,No,0,0,0,0,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,24,"January 17, 2026 11:36 AM (GMT+9)","January 17, 2026 12:00 PM (GMT+9)","やった：async 
詰まった/気づいた：asyncは実際の開発を通してこの課題を振り返りながら行うのざっくり読んで終了　➡️ ajax課題に進んだ",,,2,2,1,3,No,0,"January 17, 2026 11:36 AM",Yes,No,0,0,0,0,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,21,"January 17, 2026 1:35 PM (GMT+9)","January 17, 2026 1:56 PM (GMT+9)","やった：ajax
詰まった/気づいた：さらっと学習にする。個人開発をしながらの理解で",,,3,3,2,3.3,No,0,"January 17, 2026 1:35 PM",Yes,No,0,0,0,0,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,16,"January 17, 2026 3:52 PM (GMT+9)","January 17, 2026 4:08 PM (GMT+9)","やった：技術面談でアプリ相談用の準備
詰まった/気づいた：",Prep,ミニアプリ；技術的、リソースの実現性について (https://www.notion.so/2ebd5c5438fd80c89935f26d1b2ee5cb?pvs=21),,,,2,No,0,"January 17, 2026 3:52 PM",Yes,No,0,16,0,16,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,15,"January 17, 2026 4:09 PM (GMT+9)","January 17, 2026 4:24 PM (GMT+9)","やった：技術面談 | アプリの工数と技術選定について
詰まった/気づいた：",Interview,ミニアプリ；技術的、リソースの実現性について (https://www.notion.so/2ebd5c5438fd80c89935f26d1b2ee5cb?pvs=21),3,3,1,3.7,No,0,"January 17, 2026 4:24 PM",Yes,No,15,0,0,15,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,13,"January 17, 2026 4:24 PM (GMT+9)","January 17, 2026 4:37 PM (GMT+9)","やった：面談内容の音声をmd化、notebooklmへインポート
詰まった/気づいた：",WrapUp,,,,,2,No,0,"January 17, 2026 4:32 PM",Yes,No,0,0,13,0,
Done,1/17 (https://www.notion.so/1-17-2ead5c5438fd80618362ffe586ec4809?pvs=21),2026-W03,2026-01-17,40,"January 17, 2026 5:40 PM (GMT+9)","January 17, 2026 6:20 PM (GMT+9)","やった：学習の振り返りとmottermostシェア
詰まった/気づいた：",,,,,,2,No,0,"January 17, 2026 5:40 PM",Yes,No,0,0,0,0,
In progress,,2026-W03,2026-01-18,,"January 18, 2026 9:33 AM (GMT+9)",,,,,,,,2,No,0,"January 18, 2026 9:33 AM",Yes,No,0,0,0,0,
